ISIN,Date,opening_price_euro,closing_price_euro,minimum_price_euro,maximum_price_euro,daily_traded_volume,change_prev_closing_%
AT000000STR1,2022-01-14,37.55,37.6,37.55,37.6,175,-0.27
AT00000FACC2,2022-01-14,7.88,7.88,7.88,7.88,7,
AT0000606306,2022-01-14,25.9,25.9,25.56,25.9,1352,-0.08
AT0000609607,2022-01-14,13.46,13.66,13.46,13.66,303,1.64
AT0000644505,2022-01-14,133.2,128.8,128.2,133.2,314,-1.68
AT0000652011,2022-01-14,44.26,43.77,43.77,44.26,112,-0.5
AT0000652250,2022-01-14,22.1,22.05,22.05,22.1,115,0.0
AT0000720008,2022-01-14,7.61,7.65,7.57,7.65,5278,-0.91
AT0000730007,2022-01-14,44.96,45.8,44.96,45.9,3904,0.0
AT0000741053,2022-01-14,25.7,25.85,25.7,25.9,1100,-1.9
AT0000743059,2022-01-14,53.86,54.24,53.28,54.24,3452,0.0
AT0000746409,2022-01-14,94.0,94.05,92.9,94.05,48,2.12
AT0000785407,2022-01-14,32.8,32.6,31.7,32.8,7528,-1.06
AT0000785555,2022-01-14,27.9,27.45,27.45,27.9,355,-3.85
AT0000818802,2022-01-14,83.6,83.6,83.6,83.6,0,0.48
AT0000821103,2022-01-14,8.38,8.36,8.34,8.38,532,-0.59
AT0000827209,2022-01-14,1.19,1.19,1.19,1.19,0,0.42
AT0000831706,2022-01-14,32.82,32.76,32.76,33.22,60,-0.97
AT0000837307,2022-01-14,8.26,8.26,8.26,8.26,0,
AT0000922554,2022-01-14,47.6,47.5,47.5,47.6,7,0.85
AT0000937503,2022-01-14,35.14,34.0,34.0,35.16,3287,-2.02
AT0000938204,2022-01-14,189.6,183.0,183.0,189.6,90,-4.98
AT0000946652,2022-01-14,36.75,37.1,36.6,37.1,380,3.06
AT0000969985,2022-01-14,41.5,40.95,40.6,41.5,2413,-2.38
AT0000A00XX9,2022-01-14,8.2,8.2,8.2,8.2,300,1.49
AT0000A00Y78,2022-01-14,2.46,2.45,2.45,2.46,900,-0.41
AT0000A0E9W5,2022-01-14,14.0,13.5,13.47,14.0,501404,-3.57
AT0000A18XM4,2022-01-14,15.3,15.45,15.3,15.52,4217,2.66
AT0000A25NJ6,2022-01-14,18.9,18.8,18.8,19.0,330,-1.05
AT0000APOST4,2022-01-14,37.75,37.8,37.4,37.8,1846,-2.33
AT0000KTMI02,2022-01-14,90.7,89.8,89.5,91.8,535,-0.11
