ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
IE00BZ12WP82,LIN,"LINDE PLC        EO 0,001",Common stock,EUR,3553182,2022-04-25,07:29,288.7,289.05,288.4,288.75,4700,78
DE000BASF111,BAS,BASF SE NA O.N.,Common stock,EUR,2504663,2022-04-25,07:29,52.04,52.09,52.01,52.03,18393,54
DE000A0JL9W6,VBK,VERBIO VER.BIOENERGIE  ON,Common stock,EUR,2504343,2022-04-25,07:29,84.7,84.8,84.6,84.6,545,8
FR0013416716,GLDA,AMUNDIPHME ETC Z 2118,ETC,EUR,4219362,2022-04-25,07:29,71.245,71.255,71.245,71.255,142,2
DE000A1EK0G3,XAD1,XTR P GOLD EUR H60,ETC,EUR,2506209,2022-04-25,07:29,123.04,123.05,123.04,123.05,553,2
DE000A0N62G0,VZLD,WITR MET.SEC.DZ07/UN.XAU,ETC,EUR,2506200,2022-04-25,07:29,168.75,168.75,168.75,168.75,26,1
LU0838782315,XDDX,XTR.DAX INCOME 1D,ETF,EUR,2504277,2022-04-25,07:29,108.28,108.36,108.28,108.36,20,2
IE00BK5BCH80,RENW,LGUE-CL.EN.E. DLA,ETF,EUR,5793014,2022-04-25,07:29,10.7,10.7,10.7,10.7,700,1
DE0007236101,SIE,SIEMENS AG  NA O.N.,Common stock,EUR,2505088,2022-04-25,07:29,117.36,117.48,117.3,117.44,4639,35
DE0007664039,VOW3,VOLKSWAGEN AG VZO O.N.,Common stock,EUR,2505114,2022-04-25,07:29,150.32,150.38,150.22,150.28,2799,26
DE0007037129,RWE,RWE AG   INH O.N.,Common stock,EUR,2505072,2022-04-25,07:29,40.23,40.26,40.21,40.25,3057,18
DE000WCH8881,WCH,WACKER CHEMIE        O.N.,Common stock,EUR,2504860,2022-04-25,07:29,171.3,171.45,171.05,171.15,914,25
DE000BAY0017,BAYN,BAYER AG NA O.N.,Common stock,EUR,2504664,2022-04-25,07:29,65.23,65.29,65.22,65.25,5775,16
DE000A1PHFF7,BOSS,HUGO BOSS AG NA O.N.,Common stock,EUR,2504512,2022-04-25,07:29,53.72,53.9,53.7,53.86,1947,16
DE000A1EWWW0,ADS,ADIDAS AG NA O.N.,Common stock,EUR,2504471,2022-04-25,07:29,196.22,196.5,196.14,196.5,1027,13
DE0006047004,HEI,HEIDELBERGCEMENT AG O.N.,Common stock,EUR,2505002,2022-04-25,07:29,53.64,53.68,53.62,53.68,1134,14
DE0006231004,IFX,INFINEON TECH.AG NA O.N.,Common stock,EUR,2505024,2022-04-25,07:29,27.65,27.695,27.64,27.695,3365,19
IE00B53L3W79,SXRT,ISHSVII-C.EO STXX50 EOACC,ETF,EUR,2506397,2022-04-25,07:29,129.26,129.26,129.26,129.26,394,1
DE0005557508,DTE,DT.TELEKOM AG NA,Common stock,EUR,2504954,2022-04-25,07:29,17.13,17.146,17.122,17.144,17922,21
AT0000743059,OMV,OMV AG,Common stock,EUR,2504175,2022-04-25,07:29,44.95,44.95,44.93,44.93,941,5
DE000A2E4K43,DHER,DELIVERY HERO SE NA O.N.,Common stock,EUR,2518798,2022-04-25,07:29,32.54,32.54,32.37,32.38,6595,37
NL0012969182,1N8,"ADYEN N.V.         EO-,01",Common stock,EUR,4706834,2022-04-25,07:29,1621.2,1621.2,1621.2,1621.2,16,3
DE000VTSC017,VTSC,VITESCO TECHS GRP NA O.N.,Common stock,EUR,6791383,2022-04-25,07:29,35.02,35.04,35,35.02,90,4
DE000TUAG000,TUI1,TUI AG NA O.N.,Common stock,EUR,2504855,2022-04-25,07:29,2.78,2.784,2.78,2.784,24473,13
DE000A0WMPJ6,AIXA,AIXTRON SE NA O.N.,Common stock,EUR,2504428,2022-04-25,07:29,23.41,23.44,23.41,23.44,304,6
DE0008232125,LHA,LUFTHANSA AG VNA O.N.,Common stock,EUR,2505130,2022-04-25,07:29,7.209,7.211,7.207,7.21,2307,4
DE000A3H2200,NA9,NAGARRO SE  NA O.N.,Common stock,EUR,5906903,2022-04-25,07:29,139.8,139.8,139.8,139.8,40,1
DE000TLX1005,TLX,TALANX AG NA O.N.,Common stock,EUR,2504854,2022-04-25,07:29,40.06,40.08,40.06,40.08,119,2
DE000A2GS5D8,DMP,DERMAPHARM HLDG INH O.N.,Common stock,EUR,2984169,2022-04-25,07:29,56.15,56.15,56.15,56.15,40,1
DE0005140008,DBK,DEUTSCHE BANK AG NA O.N.,Common stock,EUR,2504888,2022-04-25,07:29,10.754,10.762,10.748,10.76,12380,19
DE0006289309,EXX1,ISHS ESTXX BNKS.30-15 D,ETF,EUR,2505027,2022-04-25,07:29,8.844,8.844,8.843,8.843,564,2
DE0006335003,KRN,KRONES AG O.N.,Common stock,EUR,2505038,2022-04-25,07:29,72.75,72.75,72.65,72.65,37,3
